CpG,gene,region,feature
cg00046537,TXNDC15,body,TXNDC15__body
cg00046560,SNRPA1,promoter,SNRPA1__promoter
cg00046623,PXDNL,body,PXDNL__body
cg00046744,LRP6,body,LRP6__body
cg00046815,CAPS2,promoter,CAPS2__promoter
cg00046991,MYO1D,body,MYO1D__body
cg00047050,CUL5,promoter,CUL5__promoter
cg00047185,MIR526B,promoter,MIR526B__promoter
cg00047287,CPT1B,promoter,CPT1B__promoter
cg00047338,BAHCC1,body,BAHCC1__body
cg00047501,BZW1,promoter,BZW1__promoter
cg00047532,PTCRA,promoter,PTCRA__promoter
cg00047683,PKD1L3,promoter,PKD1L3__promoter
cg00047694,LOC732275,body,LOC732275__body
cg00047815,PHF21B,body,PHF21B__body
cg00047843,TMTC2,body,TMTC2__body
cg00047844,CBX2,body,CBX2__body
cg00048178,GFOD1,promoter,GFOD1__promoter
cg00048381,ADAR,promoter,ADAR__promoter
cg00048697,PDCL2,promoter,PDCL2__promoter
cg00048743,PCDHGA4,promoter,PCDHGA4__promoter
cg00048746,CCDC103,promoter,CCDC103__promoter
cg00048759,STAG3,promoter,STAG3__promoter
cg00048832,GABRA1,promoter,GABRA1__promoter
cg00049033,CBLN1,promoter,CBLN1__promoter
cg00049102,DACH1,body,DACH1__body
cg00049253,EXOC8,promoter,EXOC8__promoter
cg00049323,LOC25845,body,LOC25845__body
cg00049380,HSDL1,promoter,HSDL1__promoter
cg00049400,WARS2,body,WARS2__body
cg00049411,PLCD3,promoter,PLCD3__promoter
cg00049440,KLF9,body,KLF9__body
cg00049616,CLYBL,body,CLYBL__body
cg00049664,CMTM2,promoter,CMTM2__promoter
cg00049718,CSDE1,promoter,CSDE1__promoter
cg00049892,ENPP1,body,ENPP1__body
cg00049973,APPBP2,promoter,APPBP2__promoter
cg00050152,BTNL9,body,BTNL9__body
cg00050224,RNF213,body,RNF213__body
cg00050289,SMURF2,body,SMURF2__body
cg00050312,PRKCA,promoter,PRKCA__promoter
cg00050375,ABCC10,body,ABCC10__body
cg00050496,MGC14436,promoter,MGC14436__promoter
cg00050590,SERPINB8,promoter,SERPINB8__promoter
cg00050692,DNMT3A,body,DNMT3A__body
cg00050792,COL4A1,body,COL4A1__body
cg00050984,MAP2,promoter,MAP2__promoter
cg00051179,GABRA1,promoter,GABRA1__promoter
cg00051371,CCL24,body,CCL24__body
cg00051483,GIMAP7,promoter,GIMAP7__promoter
cg00051590,VARS,body,VARS__body
cg00051662,CYP2C19,promoter,CYP2C19__promoter
cg00051979,C10orf4,promoter,C10orf4__promoter
cg00052385,ST3GAL1,promoter,ST3GAL1__promoter
cg00052422,CTNNB1,promoter,CTNNB1__promoter
cg00052433,ZCCHC14,body,ZCCHC14__body
cg00052482,PSMD4,promoter,PSMD4__promoter
cg00052550,SCLY,promoter,SCLY__promoter
cg00052578,TMEM108,promoter,TMEM108__promoter
cg00052772,B3GALT4,promoter,B3GALT4__promoter
cg00052853,LOC285205,body,LOC285205__body
cg00052903,PRB3,promoter,PRB3__promoter
cg00052932,ANKAR,promoter,ANKAR__promoter
cg00053073,PDE4C,promoter,PDE4C__promoter
cg00053292,TACO1,promoter,TACO1__promoter
cg00053373,ATP1B2,promoter,ATP1B2__promoter
cg00053393,MGC45800,body,MGC45800__body
cg00053507,DGKH,body,DGKH__body
cg00053661,CYP20A1,promoter,CYP20A1__promoter
cg00053927,MCF2L,body,MCF2L__body
cg00054173,C21orf54,body,C21orf54__body
cg00054197,SH3PXD2B,body,SH3PXD2B__body
cg00054210,CYP7B1,promoter,CYP7B1__promoter
cg00054301,ELMO3,promoter,ELMO3__promoter
cg00054408,BRUNOL5,body,BRUNOL5__body
cg00054472,TTLL3,body,TTLL3__body
cg00054496,NUBP1,body,NUBP1__body
cg00054511,PRR13,promoter,PRR13__promoter
cg00054525,CYBA,promoter,CYBA__promoter
cg00054702,LOC389332,body,LOC389332__body
cg00054706,C1D,promoter,C1D__promoter
cg00054774,C2CD2,body,C2CD2__body
cg00054791,UBE2Z,promoter,UBE2Z__promoter
cg00054890,SMURF1,body,SMURF1__body
cg00055052,CORO7,body,CORO7__body
cg00055292,RADIL,body,RADIL__body
cg00055529,FBXO47,promoter,FBXO47__promoter
cg00055557,DOK5,promoter,DOK5__promoter
cg00055617,CD7,body,CD7__body
cg00055811,RERE,body,RERE__body
cg00055848,B3GNT2,promoter,B3GNT2__promoter
cg00055981,GPSM1,body,GPSM1__body
cg00056002,PABPN1L,promoter,PABPN1L__promoter
cg00056066,ARHGAP21,body,ARHGAP21__body
cg00056257,GRM7,promoter,GRM7__promoter
cg00056578,KSR2,promoter,KSR2__promoter
cg00056624,CTDSPL,promoter,CTDSPL__promoter
cg00056676,SLCO4C1,promoter,SLCO4C1__promoter
cg00056719,PCBP2,promoter,PCBP2__promoter
cg00056754,DUSP27,promoter,DUSP27__promoter
cg00056767,CCDC122,promoter,CCDC122__promoter
cg00057092,C15orf41,body,C15orf41__body
cg00057114,ACOT7,body,ACOT7__body
cg00057208,TTLL4,promoter,TTLL4__promoter
cg00057231,COL7A1,body,COL7A1__body
cg00057272,ZFAT,promoter,ZFAT__promoter
cg00057317,CTSB,promoter,CTSB__promoter
cg00057324,OPN5,body,OPN5__body
cg00057476,GAS2L1,body,GAS2L1__body
cg00057593,GML,promoter,GML__promoter
cg00057661,ARF5,body,ARF5__body
cg00057663,TGFBRAP1,promoter,TGFBRAP1__promoter
cg00057676,C1orf220,promoter,C1orf220__promoter
cg00057700,ACADSB,promoter,ACADSB__promoter
cg00057966,MIR142,promoter,MIR142__promoter
cg00058009,TRPC3,promoter,TRPC3__promoter
cg00058026,KRT76,promoter,KRT76__promoter
cg00058113,VPS52,promoter,VPS52__promoter
cg00058296,RYR2,body,RYR2__body
cg00058299,SLC16A1,promoter,SLC16A1__promoter
cg00058413,DTWD2,body,DTWD2__body
cg00058515,CTNNA2,body,CTNNA2__body
cg00058708,UBXN2A,promoter,UBXN2A__promoter
cg00058771,POLL,promoter,POLL__promoter
cg00058786,WNT10B,promoter,WNT10B__promoter
cg00058799,PIGQ,promoter,PIGQ__promoter
cg00058879,CACNA1I,body,CACNA1I__body
cg00058887,STOX2,body,STOX2__body
cg00058923,KLHDC9,promoter,KLHDC9__promoter
cg00058938,TTC9B,promoter,TTC9B__promoter
cg00059024,WDR93,promoter,WDR93__promoter
cg00059053,PRMT8,body,PRMT8__body
cg00059089,FMNL2,body,FMNL2__body
cg00059161,SLITRK3,body,SLITRK3__body
cg00059225,GLRA1,promoter,GLRA1__promoter
cg00059240,PFKP,body,PFKP__body
cg00059246,HOXC13,body,HOXC13__body
cg00059309,RNF213,body,RNF213__body
cg00059424,PES1,promoter,PES1__promoter
cg00059662,GRTP1,body,GRTP1__body
cg00059699,KLRD1,promoter,KLRD1__promoter
cg00059737,VPS13D,body,VPS13D__body
cg00059854,AGAP1,body,AGAP1__body
cg00059911,LHX5,body,LHX5__body
cg00059930,RB1,body,RB1__body
cg00060287,COL1A1,body,COL1A1__body
cg00060304,PAX6,promoter,PAX6__promoter
cg00060320,KY,promoter,KY__promoter
cg00060374,LOC441869,body,LOC441869__body
cg00060403,NME1,promoter,NME1__promoter
cg00060627,KCNS3,body,KCNS3__body
cg00060641,LOC728643,promoter,LOC728643__promoter
cg00060880,WIBG,promoter,WIBG__promoter
cg00061031,ANP32B,promoter,ANP32B__promoter
cg00061039,F11,promoter,F11__promoter
cg00061086,RPL36AL,promoter,RPL36AL__promoter
cg00061150,NRBP2,body,NRBP2__body
cg00061185,LIMA1,body,LIMA1__body
cg00061264,UBE2E1,body,UBE2E1__body
cg00061306,FBF1,body,FBF1__body
cg00061413,PANK3,promoter,PANK3__promoter
cg00061520,ADCY9,body,ADCY9__body
cg00061695,NLGN2,promoter,NLGN2__promoter
cg00061764,SUCLG2,body,SUCLG2__body
cg00061769,YY1AP1,promoter,YY1AP1__promoter
cg00061989,CDK12,promoter,CDK12__promoter
cg00062020,C1orf180,promoter,C1orf180__promoter
cg00062070,C15orf41,promoter,C15orf41__promoter
cg00062245,ITGA2B,body,ITGA2B__body
cg00062282,PLXNB2,promoter,PLXNB2__promoter
cg00062312,KDM1A,promoter,KDM1A__promoter
cg00062356,OS9,promoter,OS9__promoter
cg00063066,C6orf173,promoter,C6orf173__promoter
cg00063111,SNORA6,promoter,SNORA6__promoter
cg00063144,KRT31,promoter,KRT31__promoter
cg00063174,WDR69,promoter,WDR69__promoter
cg00063291,SLC12A7,body,SLC12A7__body
cg00063346,OBSCN,body,OBSCN__body
cg00063456,EGLN1,body,EGLN1__body
cg00063471,TNFAIP8L3,body,TNFAIP8L3__body
cg00063503,KIAA1688,body,KIAA1688__body
cg00063535,TPCN1,body,TPCN1__body
cg00063567,ERLEC1,promoter,ERLEC1__promoter
cg00063649,C15orf61,promoter,C15orf61__promoter
cg00063703,PDE3A,promoter,PDE3A__promoter
cg00063744,NEURL3,promoter,NEURL3__promoter
cg00063773,PLS1,promoter,PLS1__promoter
cg00063828,C16orf74,body,C16orf74__body
cg00063945,TGIF1,promoter,TGIF1__promoter
cg00064020,AP2M1,promoter,AP2M1__promoter
cg00064235,FLJ41350,promoter,FLJ41350__promoter
cg00064261,ACTA1,promoter,ACTA1__promoter
cg00064284,YAP1,promoter,YAP1__promoter
cg00064840,FOXK1,body,FOXK1__body
cg00064950,SLC2A4,promoter,SLC2A4__promoter
cg00065048,FGR,promoter,FGR__promoter
cg00065071,ST7L,promoter,ST7L__promoter
cg00065088,EPPK1,promoter,EPPK1__promoter
cg00065215,PAX7,body,PAX7__body
cg00065302,RNF160,promoter,RNF160__promoter
cg00065385,ACTL7A,promoter,ACTL7A__promoter
cg00065408,CACNB3,promoter,CACNB3__promoter
cg00065919,C3orf71,promoter,C3orf71__promoter
cg00065921,CEBPZ,promoter,CEBPZ__promoter
cg00065935,STXBP5L,promoter,STXBP5L__promoter
cg00065957,FAM159A,body,FAM159A__body
cg00066153,ACRV1,promoter,ACRV1__promoter
cg00066184,IGSF11,body,IGSF11__body
cg00066270,PRG4,promoter,PRG4__promoter
cg00066449,ATP5J2,promoter,ATP5J2__promoter
cg00066468,RPUSD2,promoter,RPUSD2__promoter
cg00066512,PPM1H,body,PPM1H__body
cg00066554,VANGL2,body,VANGL2__body
cg00066627,SCGN,body,SCGN__body
cg00066663,CHD3,body,CHD3__body
cg00066671,OLFM3,promoter,OLFM3__promoter
cg00066722,EBNA1BP2,body,EBNA1BP2__body
cg00066748,C8orf42,promoter,C8orf42__promoter
cg00066816,IL12B,promoter,IL12B__promoter
cg00066942,EPC2,promoter,EPC2__promoter
cg00067018,DBX2,promoter,DBX2__promoter
cg00067058,GPATCH3,body,GPATCH3__body
cg00067102,OPN3,promoter,OPN3__promoter
cg00067124,METTL6,body,METTL6__body
cg00067126,MKI67IP,body,MKI67IP__body
cg00067274,DCHS2,promoter,DCHS2__promoter
cg00067365,ZNF131,promoter,ZNF131__promoter
cg00067471,ATP5D,promoter,ATP5D__promoter
cg00067574,RHOQ,promoter,RHOQ__promoter
cg00067576,GADD45B,promoter,GADD45B__promoter
cg00067720,PIK3R1,promoter,PIK3R1__promoter
cg00067742,MYT1L,body,MYT1L__body
cg00067768,DVL3,body,DVL3__body
cg00067884,HERC1,body,HERC1__body
cg00068038,CRIM1,body,CRIM1__body
cg00068102,GLI2,body,GLI2__body
cg00068153,CACNA1S,body,CACNA1S__body
cg00068155,CPNE4,promoter,CPNE4__promoter
cg00068160,SOX21,promoter,SOX21__promoter
cg00068305,CSNK1G3,promoter,CSNK1G3__promoter
cg00068377,PRDM16,body,PRDM16__body
cg00068433,ARHGEF19,promoter,ARHGEF19__promoter
cg00068503,COL9A2,body,COL9A2__body
cg00068621,RBM22,promoter,RBM22__promoter
cg00068622,FAM151B,promoter,FAM151B__promoter
cg00068810,PARM1,promoter,PARM1__promoter
cg00068909,NHEDC1,promoter,NHEDC1__promoter
cg00069017,NPHP4,promoter,NPHP4__promoter
cg00069059,CCDC17,body,CCDC17__body
cg00069309,KIF13A,body,KIF13A__body
cg00069314,CLCN3,promoter,CLCN3__promoter
cg00069391,SDK1,body,SDK1__body
cg00069417,SLC7A5,body,SLC7A5__body
cg00069432,STK3,body,STK3__body
cg00069642,ARAP3,promoter,ARAP3__promoter
cg00069860,RNF220,body,RNF220__body
cg00070052,POLE3,promoter,POLE3__promoter
cg00070162,HFM1,body,HFM1__body
cg00070318,T,promoter,T__promoter
cg00070370,FSD2,body,FSD2__body
cg00070460,CTBP1,body,CTBP1__body
cg00070529,ENOX1,body,ENOX1__body
cg00070715,TMEM173,promoter,TMEM173__promoter
cg00070814,DDX21,promoter,DDX21__promoter
cg00070899,GRM4,body,GRM4__body
cg00070908,RAB11FIP4,body,RAB11FIP4__body
cg00071051,SLC35B2,body,SLC35B2__body
cg00071161,TMEM63B,body,TMEM63B__body
cg00071408,RHOBTB2,body,RHOBTB2__body
cg00071618,JPH3,body,JPH3__body
cg00071751,KIF20B,promoter,KIF20B__promoter
cg00071887,LOXL1,promoter,LOXL1__promoter
cg00071950,SLC2A9,body,SLC2A9__body
cg00071984,FHIT,promoter,FHIT__promoter
cg00072099,PPM1K,promoter,PPM1K__promoter
cg00072216,MXD4,body,MXD4__body
cg00072369,MOCS2,promoter,MOCS2__promoter
cg00072407,HOOK2,promoter,HOOK2__promoter
cg00072720,CLDN7,promoter,CLDN7__promoter
cg00072957,KIAA0146,body,KIAA0146__body
cg00073003,SOX1,promoter,SOX1__promoter
cg00073010,RAI1,promoter,RAI1__promoter
cg00073244,MEGF6,promoter,MEGF6__promoter
cg00073380,ALG1,body,ALG1__body
cg00073713,LMTK2,body,LMTK2__body
cg00073716,NUDT1,promoter,NUDT1__promoter
cg00073771,OAT,promoter,OAT__promoter
cg00073780,PKIB,promoter,PKIB__promoter
cg00073794,ALK,body,ALK__body
cg00074184,SLC22A15,promoter,SLC22A15__promoter
cg00074348,APLNR,promoter,APLNR__promoter
cg00074415,LOC143188,promoter,LOC143188__promoter
cg00074746,FAM26F,promoter,FAM26F__promoter
cg00074771,WDR76,body,WDR76__body
cg00074818,CLDN23,promoter,CLDN23__promoter
cg00074851,NCBP2,body,NCBP2__body
cg00075192,C7orf25,promoter,C7orf25__promoter
cg00075204,SFXN1,promoter,SFXN1__promoter
cg00075467,TAF1B,promoter,TAF1B__promoter
cg00075507,SARM1,body,SARM1__body
cg00075589,ZNF142,promoter,ZNF142__promoter
cg00075608,ADAMTS6,promoter,ADAMTS6__promoter
cg00075615,ZFHX3,body,ZFHX3__body
cg00075634,HELT,body,HELT__body
cg00075768,HMGB1,promoter,HMGB1__promoter
cg00075920,B4GALT7,promoter,B4GALT7__promoter
cg00075956,ADARB2,body,ADARB2__body
cg00075975,PGBD5,body,PGBD5__body
cg00076056,KIAA0513,promoter,KIAA0513__promoter
cg00076353,TBC1D20,body,TBC1D20__body
cg00076645,UBTD2,promoter,UBTD2__promoter
cg00076653,C1QTNF7,body,C1QTNF7__body
cg00076797,CYMP,promoter,CYMP__promoter
cg00076936,C20orf118,promoter,C20orf118__promoter
cg00077017,FLNB,promoter,FLNB__promoter
cg00077281,LIPC,body,LIPC__body
cg00077312,EXD3,promoter,EXD3__promoter
cg00077426,EXOC3,body,EXOC3__body
cg00077547,TMEM26,body,TMEM26__body
cg00077566,EPM2A,body,EPM2A__body
cg00077606,C5orf42,promoter,C5orf42__promoter
cg00077877,ASAP1,promoter,ASAP1__promoter
cg00077898,LOC285768,body,LOC285768__body
cg00078194,MDK,promoter,MDK__promoter
cg00078221,EIF4EBP3,body,EIF4EBP3__body
cg00078245,ZNF740,body,ZNF740__body
cg00078318,SOX11,promoter,SOX11__promoter
cg00078334,MMP2,body,MMP2__body
cg00078348,HTR3A,promoter,HTR3A__promoter
cg00078456,MIB2,body,MIB2__body
cg00078746,GPR68,body,GPR68__body
cg00078759,IFT140,body,IFT140__body
cg00078940,H2AFY,promoter,H2AFY__promoter
cg00078968,WNT3A,body,WNT3A__body
cg00079023,PURA,promoter,PURA__promoter
cg00079056,SUGT1P1,promoter,SUGT1P1__promoter
cg00079169,THOP1,body,THOP1__body
cg00079216,CHD4,promoter,CHD4__promoter
cg00079219,HOTAIR,body,HOTAIR__body
cg00079224,TAOK2,body,TAOK2__body
cg00079302,RPS15,body,RPS15__body
cg00079388,ZC3H15,body,ZC3H15__body
cg00079551,THUMPD2,body,THUMPD2__body
cg00079563,ARFGAP3,promoter,ARFGAP3__promoter
cg00079598,OR6M1,promoter,OR6M1__promoter
cg00079638,B2M,promoter,B2M__promoter
cg00079785,KIAA0146,promoter,KIAA0146__promoter
cg00079891,RHBDF1,promoter,RHBDF1__promoter
cg00079898,OR52N5,promoter,OR52N5__promoter
cg00080012,EED,promoter,EED__promoter
cg00080059,DIDO1,promoter,DIDO1__promoter
cg00080060,SDK1,body,SDK1__body
cg00080081,SLFN11,promoter,SLFN11__promoter
cg00080118,CCHCR1,promoter,CCHCR1__promoter
cg00080123,GRK6,promoter,GRK6__promoter
cg00080125,C17orf82,promoter,C17orf82__promoter
cg00080148,EFCAB6,promoter,EFCAB6__promoter
cg00080312,SACM1L,promoter,SACM1L__promoter
cg00080706,GALNTL1,promoter,GALNTL1__promoter
cg00080972,RUFY1,promoter,RUFY1__promoter
cg00081019,SDCCAG8,body,SDCCAG8__body
cg00081046,METTL5,body,METTL5__body
cg00081084,TBCB,body,TBCB__body
cg00081087,AAA1,body,AAA1__body
cg00081251,CCDC163P,promoter,CCDC163P__promoter
cg00081324,SAMD14,body,SAMD14__body
cg00081347,SGSH,body,SGSH__body
cg00081574,EPHA4,promoter,EPHA4__promoter
cg00081602,RGNEF,promoter,RGNEF__promoter
cg00081729,GREM2,body,GREM2__body
cg00081799,ACOT7,body,ACOT7__body
cg00081935,TSPAN9,promoter,TSPAN9__promoter
cg00081975,ABCC3,body,ABCC3__body
cg00082178,THBS2,body,THBS2__body
cg00082182,FNBP1L,body,FNBP1L__body
cg00082411,PTCD1,promoter,PTCD1__promoter
cg00082426,XPO1,promoter,XPO1__promoter
cg00082491,BAT4,promoter,BAT4__promoter
cg00082656,SRPK2,body,SRPK2__body
cg00082664,SFRP2,promoter,SFRP2__promoter
cg00082770,FLJ32063,promoter,FLJ32063__promoter
cg00082833,IFT140,body,IFT140__body
cg00082874,SLC12A5,body,SLC12A5__body
cg00082897,TYMP,body,TYMP__body
cg00083059,MOCS1,promoter,MOCS1__promoter
cg00083072,SIPA1,body,SIPA1__body
cg00083139,MOBKL3,promoter,MOBKL3__promoter
cg00083188,KCNMA1,body,KCNMA1__body
cg00083193,OSTBETA,promoter,OSTBETA__promoter
cg00083194,DNM1L,body,DNM1L__body
cg00083206,DDO,body,DDO__body
cg00083265,KIAA0415,body,KIAA0415__body
cg00083399,MTHFSD,body,MTHFSD__body
cg00083401,RAD54L2,body,RAD54L2__body
cg00083535,TRAPPC9,body,TRAPPC9__body
cg00083596,SDK1,body,SDK1__body
cg00083616,KRTDAP,promoter,KRTDAP__promoter
cg00083652,GBP5,promoter,GBP5__promoter
cg00083659,C22orf33,promoter,C22orf33__promoter
cg00083685,TFF2,body,TFF2__body
cg00083765,NRBP2,promoter,NRBP2__promoter
cg00083801,MYBBP1A,body,MYBBP1A__body
cg00083833,NKD1,body,NKD1__body
cg00083959,AP4E1,body,AP4E1__body
cg00083993,PPP2R2B,body,PPP2R2B__body
cg00084094,CORO1C,promoter,CORO1C__promoter
cg00084184,SLC2A9,body,SLC2A9__body
cg00084202,TSNARE1,body,TSNARE1__body
cg00084338,DLL1,body,DLL1__body
cg00084347,DNAH10,body,DNAH10__body
cg00084398,TTBK1,body,TTBK1__body
cg00084432,SPG20,promoter,SPG20__promoter
cg00084435,LRRC14B,body,LRRC14B__body
cg00084577,SNORA30,promoter,SNORA30__promoter
cg00084643,PHAX,promoter,PHAX__promoter
cg00084687,GATAD1,promoter,GATAD1__promoter
cg00085013,FGD5,body,FGD5__body
cg00085029,PRR5L,promoter,PRR5L__promoter
cg00085061,RIPK4,body,RIPK4__body
cg00085199,TRAPPC9,body,TRAPPC9__body
cg00085256,DIRC3,body,DIRC3__body
cg00085281,MAD1L1,body,MAD1L1__body
cg00085416,STAU2,promoter,STAU2__promoter
cg00085430,OR1G1,promoter,OR1G1__promoter
cg00085438,MBNL1,body,MBNL1__body
cg00085448,OAS2,promoter,OAS2__promoter
cg00085732,SLC13A2,promoter,SLC13A2__promoter
cg00085830,DHX9,promoter,DHX9__promoter
cg00086243,TNFRSF18,promoter,TNFRSF18__promoter
cg00086266,PUSL1,promoter,PUSL1__promoter
cg00086297,BTBD12,promoter,BTBD12__promoter
cg00086346,ATCAY,body,ATCAY__body
cg00086429,NRP2,body,NRP2__body
cg00086493,KLK12,body,KLK12__body
cg00086577,PPT2,body,PPT2__body
cg00086670,AS3MT,promoter,AS3MT__promoter
cg00086730,FAM38A,body,FAM38A__body
cg00087005,CTBP2,promoter,CTBP2__promoter
cg00087023,SRRM2,body,SRRM2__body
cg00087098,G3BP2,promoter,G3BP2__promoter
cg00087195,MTRR,promoter,MTRR__promoter
cg00087274,SLC12A8,body,SLC12A8__body
cg00087368,SIM1,body,SIM1__body
cg00087417,SRPK1,body,SRPK1__body
cg00087420,CSMD2,body,CSMD2__body
cg00087425,IL6,promoter,IL6__promoter
cg00087482,GATS,body,GATS__body
cg00087546,PRDM16,body,PRDM16__body
cg00087568,RAB11FIP3,body,RAB11FIP3__body
cg00087728,CUTA,promoter,CUTA__promoter
cg00087884,TNFRSF25,body,TNFRSF25__body
cg00087906,MMP2,promoter,MMP2__promoter
cg00088007,NKX6-3,body,NKX6-3__body
cg00088026,FBXO21,promoter,FBXO21__promoter
cg00088033,SYNRG,promoter,SYNRG__promoter
cg00088042,PPRC1,promoter,PPRC1__promoter
cg00088080,BATF3,body,BATF3__body
cg00088130,SOX14,promoter,SOX14__promoter
cg00088227,GCC1,promoter,GCC1__promoter
cg00088428,RFPL4B,promoter,RFPL4B__promoter
cg00088464,GP9,body,GP9__body
cg00088797,IQSEC1,body,IQSEC1__body
cg00088880,TES,promoter,TES__promoter
cg00088989,SNRNP200,body,SNRNP200__body
cg00089091,DPP10,body,DPP10__body
cg00089101,TMEM131,promoter,TMEM131__promoter
cg00089214,EP400,body,EP400__body
cg00089224,PITX1,body,PITX1__body
cg00089314,LOC153328,promoter,LOC153328__promoter
cg00089353,PPM1L,promoter,PPM1L__promoter
cg00089372,MEF2D,promoter,MEF2D__promoter
cg00089384,SCG3,promoter,SCG3__promoter
cg00089464,LOC285830,promoter,LOC285830__promoter
cg00089486,SHOX2,body,SHOX2__body
cg00089550,SLC43A1,body,SLC43A1__body
cg00089695,COL15A1,body,COL15A1__body
cg00089719,CCNO,body,CCNO__body
cg00089798,FAM19A2,promoter,FAM19A2__promoter
cg00089864,MIR1272,promoter,MIR1272__promoter
cg00089915,SGIP1,promoter,SGIP1__promoter
cg00089945,MIA3,body,MIA3__body
cg00090103,ARHGEF2,body,ARHGEF2__body
cg00090261,RGS22,promoter,RGS22__promoter
cg00090619,COL11A2,promoter,COL11A2__promoter
cg00090648,C1orf55,promoter,C1orf55__promoter
cg00090674,IL17REL,promoter,IL17REL__promoter
cg00090731,STIM2,promoter,STIM2__promoter
cg00090737,KNDC1,body,KNDC1__body
cg00090764,MORN1,body,MORN1__body
cg00090767,MAX,promoter,MAX__promoter
cg00090800,IL4R,promoter,IL4R__promoter
cg00090813,MARVELD3,body,MARVELD3__body
cg00090865,ANO10,promoter,ANO10__promoter
cg00091004,PRELP,body,PRELP__body
cg00091044,TUBB,body,TUBB__body
cg00091060,ZNF17,promoter,ZNF17__promoter
cg00091162,BRP44,promoter,BRP44__promoter
cg00091349,MED12L,promoter,MED12L__promoter
cg00091483,PEBP1,body,PEBP1__body
cg00091589,KLHDC4,body,KLHDC4__body
cg00091596,ARRDC4,promoter,ARRDC4__promoter
cg00091633,FSTL1,promoter,FSTL1__promoter
cg00091742,STK31,body,STK31__body
cg00091794,GABBR2,promoter,GABBR2__promoter
cg00091953,INPP4B,body,INPP4B__body
cg00091960,GRM8,body,GRM8__body
cg00091964,CTNNA2,body,CTNNA2__body
cg00092287,NMI,promoter,NMI__promoter
cg00092389,GTF3C1,promoter,GTF3C1__promoter
cg00092518,PHF11,promoter,PHF11__promoter
cg00092551,SND1,body,SND1__body
cg00092611,WAC,promoter,WAC__promoter
cg00092644,SLC44A3,body,SLC44A3__body
cg00092682,HSF2,body,HSF2__body
cg00092711,PCNT,body,PCNT__body
cg00093058,RHOT2,promoter,RHOT2__promoter
cg00093080,FBXW8,body,FBXW8__body
cg00093087,AQP2,promoter,AQP2__promoter
cg00093095,DNAH17,body,DNAH17__body
cg00093099,EMILIN2,body,EMILIN2__body
cg00093149,LRP6,body,LRP6__body
cg00093544,SEC14L4,promoter,SEC14L4__promoter
cg00093643,CASC4,promoter,CASC4__promoter
cg00093695,SEMA5B,body,SEMA5B__body
cg00093815,LEPROTL1,body,LEPROTL1__body
cg00093851,NDUFA5,body,NDUFA5__body
cg00093890,NPNT,body,NPNT__body
cg00094036,THAP2,promoter,THAP2__promoter
cg00094063,PDP2,promoter,PDP2__promoter
cg00094256,ANAPC4,promoter,ANAPC4__promoter
cg00094303,CDH11,promoter,CDH11__promoter
cg00094412,GABBR1,body,GABBR1__body
cg00094518,KLF14,promoter,KLF14__promoter
cg00094739,HRNBP3,promoter,HRNBP3__promoter
cg00094751,MCM7,promoter,MCM7__promoter
cg00094817,CREM,promoter,CREM__promoter
cg00094851,KIF3C,promoter,KIF3C__promoter
cg00094858,PPFIA3,promoter,PPFIA3__promoter
cg00094901,BAT5,body,BAT5__body
cg00094943,ZNF775,body,ZNF775__body
cg00095018,MAPK13,body,MAPK13__body
cg00095027,ADAM22,promoter,ADAM22__promoter
cg00095099,PDILT,body,PDILT__body
cg00095214,C1orf122,promoter,C1orf122__promoter
cg00095259,CDH20,body,CDH20__body
cg00095276,SLC12A7,body,SLC12A7__body
cg00095463,IKBIP,promoter,IKBIP__promoter
cg00095493,ERGIC3,body,ERGIC3__body
cg00095674,PLEKHO1,body,PLEKHO1__body
cg00095678,TMEM136,promoter,TMEM136__promoter
cg00095772,SNTG2,body,SNTG2__body
cg00095976,SLC35F1,promoter,SLC35F1__promoter
cg00096039,UBE3A,promoter,UBE3A__promoter
cg00096065,SYNPO,body,SYNPO__body
cg00096106,ST8SIA4,body,ST8SIA4__body
cg00096307,UXS1,body,UXS1__body
cg00096419,PRRT3,promoter,PRRT3__promoter
cg00096440,FBXL16,promoter,FBXL16__promoter
cg00096603,PDLIM5,body,PDLIM5__body
cg00096806,TANC2,promoter,TANC2__promoter
